stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,24.52,0,0,0,0,0,0,0,0,4.09,28.6,20.43,53.12,0,0,4.09,351.43,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,2.14,1.07,3.21,2.14,1.07,1.07,0,0,0,2.14,0,1.07,0,0,7.49,1.07,1.07,24.61,48.14,0,0,5.35,0,0,3.21,0,0,0,0,0
21Day,2.68,0,6.69,0,25.43,5.35,0,0,0,5.35,0,0,2.68,1.34,6.69,0,2.68,12.05,25.43,0,1.34,1.34,1.34,0,2.68,1.34,0,0,0,0
3Month,0,0,0.32,0,0,0,0.96,3.52,0.32,0.32,0.32,0,0.32,0.64,0.64,0,0,0.32,0,0.32,0,0,0,2.88,0,0,0,0.32,3.52,0.96
22Month,0,0,0,0,0,0.55,0.55,0,0.55,0.55,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
