stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
21Day,1.34,1.34,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,6.69
3Month,0.64,0,1.28,0.32,0.32,2.24,0.32,0.32,0,1.28,0,0.64,0.32,0.32,0.96,0.32,0,61.43
22Month,0,0,0,0,1.64,0.55,0,0,1.09,0,1.09,1.09,0,0,0,0,0.55,12.57
