stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,93.99,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,1.07,0,6.42,1.07,2.14,13.91,0,2.14,0,2.14,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,4.02,1.34,1.34,1.34,0,0,1.34,2.68,0,0,1.34
3Month,0,0.96,0.32,1.28,0.64,0.32,0.32,0.64,0,0,2.56,0,0,0,0.32,0,0,0,0.64,0.64,0
22Month,0,1.09,0,0,1.64,0,0,0,0,0.55,1.64,0,0,0,0,0,0,0,0,0,0
