stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,16.35,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,0
3Month,0.32,0.64,1.28,1.6,2.88,2.56,0.64,0.32,3.52,0.32,0.32,3.2,0.64,0,0.64,0,0,0.64,62.07,0.96,20.16,5.44
22Month,0,13.67,1.64,7.11,1.64,3.28,0,0,2.19,0,0,3.83,0,0,0,0,0.55,0,22.41,0,0,1.64
