stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,8.17,20.43,8.17,0,4.09,0,8.17,0,0,0,0,8.17,20.43,69.47,0,4.09,16.35,302.39,4.09,0,0,8.17,0,0,0
72hpf,2.14,1.07,4.28,0,0,0,0,0,0,1.07,0,1.07,1.07,0,6.42,0,0,12.84,26.74,1.07,0,0,1.07,0,0,0
21Day,0,0,4.02,0,17.4,2.68,0,0,0,2.68,0,0,4.02,0,2.68,1.34,0,1.34,14.72,0,2.68,1.34,0,1.34,0,0
3Month,0,0,0.32,0,0,0,0,0,0.64,0,0.32,0,0.32,0,0,0,0,0,0,0,0.32,1.28,0,0,0.32,0.32
22Month,0,0,0,0,0,0,0.55,0,3.28,0.55,7.11,0,0,0.55,0,0.55,0,0,0,0,0,0.55,0,0,0,0
