stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,4.28,0,0,0,0,5.35,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,5.35,0,0,1.34,0,2.68,0,0,1.34,0,4.02,0,0,0,1.34,0,0,0
3Month,0.64,1.92,8.64,0.64,0.64,1.28,1.28,0,592.23,2.56,8,0.96,3.2,1.92,5.12,0.32,0.96,2.24,0.96,0.32,0,0.64,0,0,0,7.04,1.28,0.32,0,0.64,0.64,0.64
22Month,0.55,0.55,2.73,0,0,0,0,1.09,290.82,2.73,5.47,0,0.55,1.09,1.64,0,4.37,0,0.55,1.09,0,0.55,0,0.55,0,0,0.55,0,0,0,0,1.09
