stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,49.04,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,4.28,1.07,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,1.07,19.26,9.63,0,0,6.42,0,1.07,3.21,0,0,0
21Day,0,0,0,10.71,5.35,0,0,0,0,0,0,2.68,0,2.68,1.34,0,6.69,0,1.34,0,2.68,5.35,0,0,1.34,0,0,1.34,0,0,0
3Month,0.32,0.64,0.32,15.04,2.24,0,0.32,0.32,0.64,7.36,0.64,0,1.92,2.56,1.6,2.24,1.92,1.6,0.64,0.64,1.6,0,0,0,0,0.64,16.64,0,1.6,157.1,1.28
22Month,0,1.09,0.55,3.83,0.55,0,0,0.55,1.64,10.93,0.55,2.19,1.64,0.55,0,0.55,1.09,0,0,0,0,0,0,0.55,0,0,2.73,0,0,0,0.55
