stage,Epithelial_cell,Hepatocyte,Neural_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,1.07,0,0
21Day,9.37,0,0,0,0
3Month,1.92,0.64,0,0.32,0.96
22Month,1.64,0,0,0,0
