stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0.96,0.32,0.32,1.6,0.32,1.28,0.32,0.64,0.32,0,0.32,0,0.32,1.6,23.68,0
22Month,0.55,0.55,0,0.55,6.01,0,1.09,0,0,0.55,0.55,0.55,0.55,0,2.19,0,0.55
