stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,20.43,4.09,24.52,0,0,0,0,0,0,0,4.09,20.43,12.26,49.04,0,0,16.35,318.74,0,4.09,0,0,0,0,0,12.26,0
72hpf,2.14,4.28,7.49,3.21,1.07,0,0,0,0,0,13.91,14.98,1.07,10.7,2.14,1.07,27.81,51.35,0,11.77,1.07,0,5.35,1.07,2.14,1.07,0
21Day,1.34,0,12.05,1.34,0,1.34,0,0,0,1.34,1.34,1.34,0,5.35,0,0,5.35,2.68,2.68,2.68,1.34,1.34,0,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0.32,0.32,0,0.32,0,0.32,0,0,0,0,0,0,0,1.28,0,0,0,0,0.32
22Month,0,0,0,0,0,0,0.55,0.55,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55
