stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,8.17,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,2.14,0,1.07,0,6.42,5.35,1.07,0,1.07,0
21Day,2.68,0,1.34,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,4.02,0,0,0,0
3Month,0,0,1.6,0.32,0.32,0,0,3.2,0.32,0,1.28,1.28,0.32,0.32,0.32,0,0,0,0.96,0,1.6
22Month,0,0.55,1.09,0,0.55,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55,0
