stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,0,19.26,0,2.14,1.07,0,0,0,0,0,0,2.14,0,1.07,3.21,0,9.63,0,1.07,1.07,0,27.81,13.91,0,1.07,12.84,0,0,6.42,1.07,0,0,0
21Day,5.35,8.03,0,4.02,0,0,0,0,1.34,0,0,4.02,2.68,1.34,6.69,0,14.72,0,0,2.68,0,8.03,8.03,1.34,1.34,6.69,0,0,1.34,0,0,0,1.34
3Month,0,21.76,0,6.08,0,0.32,0.64,2.24,0,20.16,3.84,1.28,2.24,0.64,4.16,1.92,3.52,0.32,0,0,0.32,1.28,0,0.96,0,0.64,0.96,0.64,0,0,9.6,1.6,1.6
22Month,0.55,13.12,1.64,13.67,0,2.73,0,6.56,0.55,117.53,3.83,2.73,4.92,0,0.55,6.01,7.65,1.64,7.65,1.64,0,1.09,0,3.83,1.64,0,0,3.28,0,0,0.55,0,2.73
