stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,1.07,0,4.28,0,0,0,0,0,0,0,0,8.56,0,2.14,0,1.07,12.84,1.07,0,0,1.07,0,0,0,0
21Day,0,0,33.46,0,0,1.34,0,0,1.34,0,0,1.34,4.02,2.68,0,0,10.71,2.68,0,0,0,0,0,0,0
3Month,0,0.32,9.6,0.32,1.92,0.32,0,0,2.88,0,1.92,0,0.96,0.32,0.64,0,0.32,0,2.56,0.32,0.32,0.32,7.36,0,0.96
22Month,0,1.64,6.01,0,2.73,2.73,3.28,0,7.11,1.09,0.55,0.55,0.55,0.55,1.09,0,0.55,0,1.09,0,0,0,0,0.55,0.55
