stage,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,4.09,4.09,4.09
72hpf,0,0,0,1.07,0,0,0
21Day,1.34,1.34,1.34,0,1.34,0,0
