stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,12.26,4.09,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,0,0,1.07,0,0,0
21Day,0,4.02,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.64,3.52,0.64,0.32,0,0.64,0.64,0,0.32,0,0.64,0.32,0.64,0.32,0,0,0.64,0,2.56,0.64,0.32
22Month,0,1.09,0.55,1.09,6.01,3.28,0,1.64,0.55,0,0.55,0,0,0,0,0,0,0,1.09,0,0.55
