stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte
72hpf,1.07,0,0,0,0,1.07,0,2.14,2.14,0
21Day,0,0,1.34,0,0,0,1.34,2.68,0,0
3Month,0,0,0.32,0,0,0,0,0,0,0.32
22Month,0,0.55,0,0.55,0.55,0,0,0,0,0
