stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,2.68,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,2.88,59.83,0,5.44,1.28,1.28,0.32,0,0.32,0.32,0,0,0.32,0.32,0.64,0.64
22Month,0.55,0,34.44,0.55,6.01,1.09,21.87,0,0.55,2.19,0,0,0.55,0,0.55,0,0.55
