stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.19,1.07,0,0,0,0,1.07,0,0,0
21Day,1.34,0,9.37,2.68,0,0,0,0,0,0,0,0,0,0,8.03,0,6.69,0,0,0,0,36.14,1.34,0,1.34,1.34,0,1.34,0,0,0
3Month,0,0.32,10.24,0,0.32,0,0.32,1.6,0,5.76,0.32,0.64,2.88,0.32,2.56,0.32,9.28,2.88,0,1.28,0.64,3.52,0.32,0,0,0.32,1.92,0,3.52,0.64,0.96
22Month,0,0,2.19,0,0,0.55,0,2.73,1.09,28.43,1.09,0,4.92,0.55,2.19,1.64,16.95,0.55,0.55,0,0,0.55,0,0.55,0,0,0.55,0,0,0,1.64
