stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
21Day,0,0,0,1.34,0,0,2.68,0,0,0,0,0,0,0
3Month,0.32,1.28,0.96,0,0.64,0.96,35.51,0.64,1.28,0,0,0,0.32,1.28
22Month,0,2.19,0.55,0,0.55,7.11,39.91,0,0,0.55,0.55,0.55,0,0.55
