stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,1.07,0,2.14,20.33,0,0,0,0,0,0,0,0,0,26.74,0,5.35,0,1.07,0,344.47,11.77,0,1.07,8.56,0,0,3.21,1.07,0,0,0,0
21Day,1.34,0,0,17.4,8.03,1.34,0,1.34,0,0,0,1.34,1.34,0,8.03,0,13.39,0,0,0,140.55,2.68,0,2.68,8.03,5.35,0,4.02,2.68,1.34,0,0,0
3Month,0,0,0.32,0.96,0.64,0,0.32,0,0.32,2.56,0.96,0,1.28,0.32,0.64,0.64,2.88,0.64,0,0.96,0.32,0,0.32,4.16,0,0.32,3.52,0.32,0,0,0.32,120.94,0.96
22Month,0,1.09,0,0,0,0,0,0.55,0.55,4.37,0,0,0.55,0,0,0,0.55,0,1.09,0.55,1.09,0,0,3.83,0,0,1.64,0,0,0,0,0,0.55
