stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,T_cell
3Month,0.64,0,0.32,0.32,0,0.32,0
22Month,0.55,0.55,4.37,3.83,0.55,0,0.55
