stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,9.63,2.14,0,0
21Day,2.68,0,0,0,0,0,0,1.34,1.34,2.68,1.34,1.34,6.69,0,4.02,1.34
3Month,0.32,0,0,0,0.32,0.32,0,0,0.32,0,0,0.32,0,0,0,0
22Month,0.55,0.55,2.19,2.73,1.09,0,2.19,0,0,1.09,0,0,0.55,0,0,0
