stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,8.17,85.81,0,0,0,20.43,404.55,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,32.09,5.35,13.91,4.28,8.56,0,1.07,0,0,0,0,0,0,2.14,6.42,3.21,69.54,3.21,3.21,0,391.54,197.91,2.14,2.14,72.75,2.14,0,27.81,5.35,6.42,4.28,0,0,0
21Day,21.42,1.34,12.05,1.34,6.69,0,5.35,0,0,0,0,4.02,0,0,2.68,2.68,53.54,0,2.68,0,104.41,56.22,0,1.34,24.09,1.34,0,4.02,5.35,6.69,1.34,0,0,1.34
3Month,0,0.64,1.6,0,0,0,0.96,0.32,0.64,4.16,0,0,0.96,0,0.64,0.64,3.2,0,0.96,0,0.64,0,0,0.96,0,0,8.64,0.32,0,0,0.32,1.92,0.96,1.6
22Month,0,2.19,1.64,0,0,0.55,1.64,0,0.55,32.25,1.09,0.55,3.83,0.55,1.09,0,12.03,0.55,1.09,0.55,0.55,0,1.09,1.09,0,0,7.11,0.55,0,0,0,0,0,2.19
