stage,Cardiomyocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,4.28,0,0,5.35,0,0,0
21Day,1.34,0,0,21.42,0,0,14.72,0,0,0
3Month,0,0,0,0.32,0,0.32,3.84,0.32,0.32,0.64
