stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,8.17,12.26,0,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,2.14,0,0,0,0,2.14,0,1.07,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,1.34,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,4.02,0,0,1.34,0,0,0
3Month,0.96,0,3.52,0,0.32,1.28,1.6,1.28,0.32,2.24,0.64,0.32,0,0.32,0,0.32,0.96,0.64,0,0.64,0,0,0.64,74.23,0,0,0.96,2.56,1.28
22Month,0,1.09,1.64,0,0.55,1.64,6.01,0,0.55,2.73,0.55,0.55,2.73,0,0.55,0,0,1.09,0,0,0.55,7.11,0,83.09,0,0,0,0,0.55
