stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,2.14,0,4.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0
3Month,0.32,0.32,0.32,0,0.64,0.32,0,0.32,0,0,0,0,0,0,0.64,0,0.32,0.96,0
22Month,0.55,1.09,0,1.64,13.67,0.55,0.55,0,1.09,2.73,1.64,0.55,0,0,0,0,0,0,0.55
