stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,1.07,2.14,0,0
21Day,1.34,0,1.34,0,0,1.34,2.68,0,0,0,0,1.34
3Month,0,0,0.32,0,0.96,0.64,0,0.32,0,0,0.64,0
22Month,0,0.55,0,0,1.09,0,0,0,0,0,0,0
