stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,5.35,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0
3Month,0,3.52,51.51,2.56,1.28,0,3.84,0.64,0.32,25.28,1.92,2.24,2.24,0,0.64,0.64,1.6,0,1.28,0.32,0.32,1.28,1.28
22Month,1.09,2.19,14.21,5.47,1.64,0.55,7.11,0.55,0,34.99,2.19,0.55,1.64,2.19,1.09,0,0,1.64,1.64,0,0,0,0
