stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,27.81,0,0,0,8.56,1.07,0,0,0,0,0,0,1.07,1.07,0,1.07,1.07,0,0,9.63,6.42,0,0,1.07,0,0,0,0,0,0
21Day,32.12,0,0,4.02,21.42,2.68,0,0,4.02,0,0,1.34,0,5.35,1.34,4.02,0,1.34,0,8.03,2.68,0,0,0,0,0,4.02,2.68,0,0
3Month,2.88,0,0.32,3.52,10.24,0,3.2,0.64,24.64,1.92,0.32,2.88,1.28,1.92,0.96,1.28,0,1.28,0.96,0.96,0,0.64,0,0.32,57.91,0.32,0,0,12.16,2.56
22Month,2.19,0.55,0,1.64,1.64,0,1.09,0.55,26.24,0,0,3.28,0,0.55,1.64,3.28,0,0.55,0,0,0,1.09,1.09,0,17.49,0,0.55,0,0,0
