stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,0,0,4.09,8.17,20.43,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,1.07,3.21,20.33,16.05,2.14,0,0,3.21,0
21Day,0,0,0,2.68,0,0,0,4.02,12.05,2.68,0,0,0,0,0
3Month,0.64,0,1.92,0,0,0.32,0.96,0,0,0,0,0.32,0.32,0,0
22Month,0,0.55,9.84,0,0.55,0,0,0.55,0,0,0,0,0,0,1.09
