stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,65.38,20.43,0,0,0,0,12.26,77.64,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,3.21,1.07,0,1.07,0,0,0,0,0,0,3.21,0,4.28,0,0,0,0,201.12,21.4,0,0,3.21,0,0,3.21,6.42,2.14,0,0,0,0
21Day,1.34,0,0,1.34,0,0,18.74,0,0,0,1.34,0,0,0,0,2.68,0,0,0,0,48.19,1.34,0,0,1.34,1.34,0,2.68,0,2.68,1.34,0,0,0
3Month,0,0.64,0,12.48,0,0,127.34,0,21.76,4.48,0.32,4.8,0.96,3.52,2.24,7.36,0.64,0,0.64,0.32,0.96,0.32,0.64,0.32,0.32,0.32,7.04,0.32,0,0,0,0.32,2.88,1.92
22Month,0,1.09,1.09,4.37,0,0.55,54.12,1.64,45.37,15.31,1.09,6.01,0.55,2.19,4.37,10.39,0,0.55,1.09,0,2.19,0,1.09,0,0.55,0.55,3.83,0.55,0.55,0,0,0.55,0,0.55
