stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,2.14,0,0,0,0,0
21Day,1.34,0,0,0,0,0,2.68,0,0,0,0,0
3Month,4.16,0.64,0.64,1.6,0.32,0.96,1.28,0.96,0.32,0.32,0.32,0.96
22Month,1.09,0,0.55,2.73,0,1.09,0,0,0.55,0,0,0
