stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,40.86,8.17,0,20.43,0,0,0,0,0,8.17,0,0,0,0,0,4.09,24.52,114.42,0,0,32.69,2141.28,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,10.7,2.14,0,12.84,5.35,0,0,0,0,0,0,0,8.56,0,3.21,7.49,0,300.61,0,10.7,62.05,83.44,0,0,0,351.96,1.07,0,9.63,0,0,0,0,0,0
21Day,8.03,1.34,1.34,34.8,2.68,2.68,0,0,0,0,0,0,1.34,1.34,2.68,6.69,0,20.08,0,0,16.06,24.09,0,0,0,37.48,2.68,5.35,6.69,0,1.34,1.34,0,1.34,0
3Month,0.32,0.32,0.64,11.52,0,0,0.64,2.24,0,0,2.56,1.6,0.32,2.56,0.96,0.96,3.52,1.92,0.32,0.32,0.64,0,0.32,0,0,1.28,0.96,19.2,0.32,0.32,0,0,0.64,5.12,2.56
22Month,0,0.55,1.09,6.01,0,0,0,1.09,0.55,0,9.84,0.55,0.55,2.73,0,0.55,4.92,1.64,0,0.55,0,0,0,1.64,0.55,0,0,11.48,0,0.55,0,0,0,0,0.55
