stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,4.09,4.09,32.69,0,0,0,0
72hpf,0,1.07,0,0,0,0,18.19,6.42,0,0,0,2.14
21Day,0,0,0,1.34,0,1.34,8.03,1.34,1.34,1.34,0,0
3Month,0,0,0,0,0.32,0,0,0,0,0,0.64,0
22Month,1.09,0.55,3.83,0,0,0,0,0,0,0,0,0
