stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,4.09,12.26,0,0,0,0,0,8.17,0,4.09,241.1,0,0,0,0,0
72hpf,0,0,3.21,1.07,0,1.07,1.07,0,3.21,0,11.77,47.07,4.28,0,1.07,1.07,0
21Day,8.03,0,10.71,30.79,8.03,5.35,0,1.34,1.34,1.34,9.37,36.14,1.34,1.34,1.34,4.02,5.35
