stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,8.17,0,0,0,0,0,0,61.3,0,4.09,0,4.09,0,0,0,0,0
72hpf,3.21,1.07,0,0,0,0,0,63.12,0,0,5.35,0,0,0,0,1.07,0
21Day,10.71,0,1.34,0,0,1.34,0,44.17,0,0,2.68,1.34,0,1.34,0,0,0
3Month,1.6,0,0,0.32,0.32,0,0,0.64,0.32,0,0,0,0,0,0.64,0,0.32
22Month,0.55,0,0,1.09,0.55,0,1.09,0,0,0,0,0,0.55,0,0,0,0
