stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,2.14,0,0,0,1.07,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,2.68,0,0,0,0,0
3Month,0.64,0.32,1.92,18.88,0.64,3.52,5.12,22.72,6.08,0.32,11.52,0.64,4.8,4.8,8.64,0.64,0,2.24,2.24,1.6,0.64,2.24,0.64,0,6.08,883.38,0.96,0.32,6.08,705.17,3.52
22Month,0,0.55,0,1.09,0,1.09,1.09,2.19,0,0,1.09,0,0,0.55,0,0,0.55,0,0,0.55,0,0,0,0,0.55,149.78,0,0,0,0,0
