stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,4.09,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0,4.09
72hpf,0,0,2.14,0,0,0,1.07,1.07,0,0,0,6.42,0,1.07,1.07,1.07,0,1.07,0
21Day,1.34,0,0,0,0,0,1.34,0,0,1.34,2.68,2.68,1.34,0,0,0,0,0,0
3Month,0,0.64,0,0,1.28,0.32,0.32,0,0.32,0,0,0,0,0,0,0,0.32,0,0
22Month,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
