stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,14.98,0,2.14,0,0,0,9.63,1.07,1.07,0,4.28,0,0,0,0,0,0,0,0,0
21Day,5.35,1.34,0,46.85,1.34,4.02,0,0,0,1.34,1.34,0,6.69,1.34,1.34,29.45,1.34,29.45,0,0,4.02,20.08,4.02,1.34,0,13.39,2.68,1.34,2.68,1.34,5.35,4.02,0,0,6.69
3Month,0,0.64,0.32,4.8,0.64,0,0,0.32,0.64,0,9.92,0.64,0,6.4,0.32,2.56,0.64,2.56,0.32,0,0,0,0,0.64,0,0.32,0,0.32,0,0,0,0,0.96,0.96,1.28
22Month,0,0,1.09,1.64,0,0,0.55,0,3.28,2.73,28.97,0.55,1.64,7.65,0,0.55,1.09,3.83,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0.55
