stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,4.28,1.07,0,0,0,0,39.58,0,0,0
21Day,0,0,4.02,10.71,0,0,0,1.34,1.34,0,0,2.68,0,2.68,0,0,0,0,2.68,0,0,5.35,0,0,231.57,2.68,0,0
3Month,0,0,0,0,0.32,0.32,0,0.32,1.28,0.32,0,0.32,0,0,0,0,0.32,0.64,0.32,0,0,0,0.32,0,5.12,0,0,0.32
22Month,1.64,0.55,3.83,0,0.55,9.29,2.19,19.13,2.19,3.28,0.55,1.64,0.55,1.09,0.55,1.09,0,0.55,0.55,0.55,0.55,0.55,5.47,2.73,1393.97,0,0.55,1.09
