stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,28.6,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,20.43,4.09,44.95,0,0,0,28.6,196.15,4.09,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,4.28,0,0,0,16.05,9.63,0,2.14,0,5.35,0,0,1.07,0,0,0,0,0
21Day,4.02,0,0,6.69,0,2.68,0,0,0,0,0,0,1.34,0,2.68,1.34,1.34,1.34,1.34,2.68,0,0,1.34,9.37,4.02,0,1.34,0,2.68,0,0,1.34,1.34,0,0,0,1.34
3Month,0.32,1.28,0,7.68,0.32,0,0,0.32,1.6,1.28,0,0,9.6,2.24,0.32,1.28,0.32,2.24,2.88,12.48,4.16,0,2.24,0.32,0.32,0.64,7.04,0,0.64,0,1.92,0.32,0,0.32,3.84,0.32,1.92
22Month,0,3.83,1.64,7.11,0,0,1.09,0,2.73,5.47,1.64,0,66.15,8.75,1.09,9.84,0.55,0.55,4.92,21.87,2.19,2.73,0,1.64,0.55,0.55,15.31,0.55,0.55,1.09,2.19,1.09,0,0,0.55,0,1.09
