stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,16.35,0,0
72hpf,0,3.21,0,0,0,0,2.14,1.07,0,4.28,1.07,1.07,0
21Day,0,4.02,0,0,0,1.34,4.02,0,1.34,5.35,1.34,0,1.34
3Month,0,1.92,0.96,0.32,0.32,0,0.64,0.64,0,0,0,0,0
22Month,0.55,1.09,1.09,0,1.09,0,0,0,0,0,0,0,0
