stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,8.17,85.81,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,3.21,1.07,2.14,0,0,0,0,0,0,0,0,0,0,2.14,0,11.77,0,0,0,0,57.77,41.72,0,8.56,0,1.07,2.14,0,0,0
21Day,1.34,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,1.34,0,9.37,0,0,1.34,0,13.39,8.03,0,6.69,0,0,1.34,1.34,0,1.34
3Month,0,0.64,0.64,2.56,0,0,0,0.32,0.32,0.32,0,11.52,1.28,0,0.96,0.96,1.28,0.32,1.28,0.96,0.32,0.96,0.64,0.32,0,0.32,0.32,0.32,0.64,0,0,0.96,1.28
22Month,0,1.64,0.55,1.09,0,0,0.55,0.55,0,2.19,1.64,42.64,0.55,0.55,2.19,0,0,1.09,2.19,0.55,1.09,0,0,0.55,0.55,0.55,0,0.55,1.09,1.09,0,0,0
