stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,28.6,0,0
72hpf,1.07,0,1.07,0,1.07,1.07,4.28,6.42,4.28,1.07
21Day,0,0,0,0,0,10.71,5.35,0,1.34,0
22Month,0,0.55,0,2.19,0,0,0,0,0,0
