stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,5.35,1.07,0,0,2.14,0,0,9.63,1.07,1.07,1.07,0,0,0
21Day,1.34,4.02,0,0,0,2.68,0,0,8.03,0,0,0,0,1.34,0
3Month,0,0,0,0,0.96,0,0.32,0,0,0,0.32,0,0,0,0.32
22Month,0,0,0,0.55,2.19,0,0,0.55,0,0,0,0,0.55,0,0
