stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,0,0,0,0,0,0,1.07,1.07,0,2.14,0,0,13.91,5.35,0,0,1.07,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,5.35,0,0,4.02,1.34,0,0,1.34,1.34,0,1.34,0,0,1.34
3Month,0,0.32,0.64,1.6,0,0.96,0,4.48,0.32,0,1.92,0,2.56,0.32,1.92,0.32,0.32,0.64,0,0.32,0.32,0.32,0,4.8,0,0.96,1.92,0.64
22Month,0,0,0,0,0,0,0.55,5.47,0,0,0.55,0.55,0.55,1.09,0.55,0,0,0,0,0,0.55,0,0,2.19,0,0,0,0
