stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,12.26,0,0,0,0,0,4.09,0,0,77.64,0,0,12.26,277.88,0,0,0,0,0,0,0
72hpf,4.28,1.07,3.21,1.07,0,0,0,0,0,1.07,1.07,33.16,2.14,0,60.98,28.88,7.49,0,7.49,0,0,0,0
21Day,2.68,2.68,5.35,1.34,0,0,0,0,0,0,0,18.74,2.68,0,8.03,5.35,5.35,0,1.34,1.34,0,0,0
3Month,0,3.84,4.48,0,0.64,3.84,0.32,0.32,0.32,2.24,0,4.48,0,0.32,0.32,0,0,0.64,0,0,4.8,32.31,0.32
22Month,0,3.83,0.55,0,0,2.73,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.55,0,0
