stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,0,4.09,77.64,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,2.14,0,1.07,0,0,0,0,0,0,0,3.21,0,1.07,5.35,0,14.98,0,0,1.07,0,11.77,36.37,0,0,7.49,0,0,1.07,5.35,0,2.14,0,0,0
21Day,5.35,0,0,4.02,1.34,0,2.68,0,0,0,1.34,24.09,0,0,5.35,2.68,6.69,0,0,1.34,0,1.34,9.37,0,0,1.34,1.34,0,0,1.34,0,0,0,0,17.4
3Month,0,3.84,0.96,7.68,0,0.96,2.56,10.88,0,49.91,16.64,8.96,4.48,0.96,1.6,14.4,11.84,1.28,0.32,2.88,3.52,1.6,0.96,0.32,0.32,0.64,2.88,0.32,15.36,0.32,0.32,0.32,5.44,3.52,78.71
22Month,0,2.19,0,1.64,0,0.55,0.55,3.28,3.28,19.13,1.09,3.28,1.09,0,0,1.64,3.28,0,0.55,1.64,0,0,0,0.55,0,1.64,0,0,3.83,0,0,0,0,0,5.47
