stage,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,3.21,1.07
21Day,0,0,0,0,0,1.34,0
22Month,1.09,0.55,9.29,0.55,0.55,0,0
