stage,Enterocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage
21Day,1.34,0,0,0,4.02,1.34,5.35,1.34
3Month,0,0,0,0,0.64,0,0,0
22Month,0.55,0.55,0.55,1.09,5.47,0,0,0
