stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,10.7,2.14,0,0,2.14,0,0,1.07,0,0,0
21Day,0,2.68,0,0,1.34,0,0,0,0,0,0,1.34,0,2.68,0,0,6.69,0,0,0,0,4.02,1.34,0,0,0,0,0,0,0,0,0
3Month,0.64,4.8,0,0.64,0,0,0.96,0.96,0,6.4,1.6,0.64,1.6,0.96,2.24,1.6,0.64,0.96,0,0.64,0.32,0.32,0,0.32,0.64,0.64,0.64,3.52,0,0.64,5.12,3.84
22Month,0.55,1.64,0,0.55,0,0.55,0,2.19,1.09,8.2,1.09,1.09,2.19,0,0,1.64,0.55,0.55,1.09,0,0,0,0,0.55,0.55,0,0,0.55,0,0.55,0,0.55
