stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,4.09,32.69,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,0,1.07,8.56,2.14,1.07,0,0,0,0,0
21Day,1.34,1.34,2.68,1.34,0,1.34,2.68,8.03,1.34,0,1.34,0,2.68,0,0
3Month,0,0,0,0,0.32,0,0,0,0,0,0,0.64,0,0,0.32
