stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,16.35,12.26,0,0,0,0,12.26,69.47,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,17.12,0,0,0,0,0,0,0,0,0,0,4.28,20.33,1.07,4.28,0,3.21,0,0,5.35,11.77,0,0,0,6.42,0,0,3.21,0,0,0,0
21Day,8.03,0,2.68,42.83,1.34,0,0,0,0,0,1.34,0,8.03,2.68,2.68,24.09,6.69,30.79,0,0,5.35,0,6.69,6.69,0,0,0,5.35,0,0,5.35,2.68,0,0,4.02
3Month,0.32,1.92,2.88,62.71,0,0.32,0.96,8.64,6.72,0,23.04,5.76,1.28,38.71,1.28,64.31,7.36,8,1.6,0,1.6,0.96,0.64,0.32,2.24,0.64,0,0,1.92,16.96,0.32,0,4.8,3.52,9.6
22Month,0,2.73,1.64,21.32,0,0,0.55,6.56,3.83,3.83,77.08,2.19,2.19,50.84,0,14.21,3.83,9.84,0,1.64,2.73,0,1.09,0,0.55,1.09,0.55,0,0.55,6.56,0,0,0,0,5.47
