stage,Epithelial_cell__Brain_,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,4.09,4.09,0,0,0,12.26,0
72hpf,1.07,1.07,0,2.14,1.07,12.84,1.07,5.35,0
21Day,0,1.34,0,1.34,0,0,0,0,4.02
