stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,0
21Day,0,2.68,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.96,5.76,16.64,0.64,0.32,24.96,4.8,0,20.16,3.84,0.64,20.48,1.28,5.12,1.6,5.76,0.64,0,0.64,2.24,0.64,0,0,0.32,10.24,0.96,59.51,2.24
22Month,14.21,37.17,13.67,0.55,0.55,73.8,2.73,32.25,138.3,3.28,0,22.41,1.64,1.09,8.75,4.92,0,4.92,2.73,0,1.64,1.09,3.28,0,10.93,0.55,0.55,2.19
