stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,4.02,1.34,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,3.52,0.64,15.36,8.32,244.44,0,3.84,0.32,1.6,13.44,1.92,0.96,0.32,0.32,0.64,0,0,2.24,0.32,0,0.32,1.28,3.52
22Month,1.09,2.73,0,7.65,19.13,182.04,0.55,1.64,0.55,0,7.11,1.09,0,0,0.55,0,0,0.55,0,0,0.55,0,0,1.09
