stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,2.14,0,0,1.07,0,0
21Day,0,0,0,0,0,0,5.35,1.34,1.34,6.69,0,0,0
3Month,2.24,0,1.28,0.32,0.32,0.32,0,0,0,0.96,0,1.28,38.07
