stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,77.64,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,1.07,0,5.35,0,0,0,0,38.51,18.19,0,0,3.21,0,0,3.21,0,0,0,0
21Day,2.68,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,2.68,0,1.34,0,0,0,0,10.71,4.02,1.34,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,0.32,6.4,0.32,0.32,0.96,2.24,0,21.12,2.88,0.64,4.16,0.64,2.56,1.92,4.16,0.96,0.32,0.64,0.32,2.88,0,0.96,0.32,0.32,0.64,1.92,0,0.32,1.28,1.92,2.88
22Month,0,1.64,2.73,5.47,1.09,0,1.09,11.48,7.11,69.97,5.47,1.64,7.65,0,0.55,7.11,5.47,0,3.28,1.09,0,0.55,0,1.64,1.09,1.09,0.55,1.09,1.64,0,0.55,0,2.73
