stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,4.28,0,0,0,0,0,0,0,0,1.07,5.35,0,3.21,0,0,0,0,3.21,0,0,0,6.42,0,0,2.14,0,0,0,0
21Day,0,0,1.34,5.35,4.02,0,0,0,0,0,0,1.34,2.68,0,6.69,1.34,4.02,0,1.34,0,2.68,2.68,0,0,0,1.34,0,0,0,1.34,0,0,4.02
3Month,0,0.96,0.32,8,0,0.32,0.32,1.28,4.8,4.16,1.6,0.32,16.64,0,4.16,0.64,3.2,0.96,0.64,1.28,0,0,0.32,0.32,0,0,0.32,1.6,0,0,1.6,0.64,3.52
22Month,0,2.73,2.19,6.56,0,0,0,0.55,6.01,25.69,1.09,0,20.23,0.55,1.09,3.28,6.01,0,0.55,0,0,0,0.55,0,0.55,0,0,2.19,0,0,0,0,1.09
