stage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,4.09,0,0
72hpf,2.14,1.07,0,4.28,1.07
21Day,2.68,0,0,0,0
