stage,Epithelial_cell,Erythrocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,4.09,0,4.09
72hpf,0,0,26.74,1.07,1.07
21Day,6.69,1.34,17.4,0,0
