stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,0,3.21,2.14,0,0,0,0,0,0,0,2.14,0,1.07,5.35,12.84,0,0,0,0,0,1.07,3.21,1.07,0,0,0,2.14,0,0,0,0,0,0,0,0
21Day,0,4.02,0,20.08,2.68,0,1.34,1.34,10.71,0,2.68,5.35,16.06,0,2.68,5.35,20.08,2.68,0,0,1.34,0,6.69,1.34,1.34,0,0,2.68,1.34,1.34,5.35,1.34,1.34,0,0,0,6.69
3Month,0.32,9.28,3.2,77.43,0.64,0.64,0.96,16.96,63.35,0.64,104.3,34.87,5.76,44.15,6.08,20.8,49.91,21.44,2.24,0.32,25.6,6.08,3.2,0.64,4.8,1.28,0,0,3.2,54.39,1.28,0,0,0.32,4.16,67.83,17.6
22Month,0,10.39,3.83,19.13,0,0,0,4.92,80.9,65.6,164,21.87,17.49,38.81,0.55,5.47,48.65,29.52,1.09,3.83,12.03,0,1.64,0,1.09,2.19,2.19,0,3.83,27.33,1.64,0.55,0,0,0.55,0,7.65
