stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,4.09,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,2.14,1.07,0,0,0,0,0,0,0,0,2.14,1.07,0,3.21,0,0,2.14,0,13.91,5.35,0,0,21.4,0,0,12.84,20.33,0,0
21Day,4.02,0,0,9.37,0,0,0,0,0,0,0,1.34,0,0,5.35,0,8.03,0,0,1.34,0,13.39,6.69,0,0,4.02,4.02,0,70.94,406.91,1.34,0
3Month,0.32,0,0.32,1.28,0,0,0.32,0.96,0,1.92,0.64,0,1.6,0.32,0.32,0.64,1.92,0.32,0,1.28,0.32,0,0,0,0,0,0.32,1.28,0,0,0,0.64
22Month,0,2.73,1.64,5.47,0,0.55,1.64,3.28,3.28,114.8,2.73,0.55,8.75,0,0.55,7.11,10.39,0.55,3.28,3.28,0,0.55,0,1.09,0.55,0.55,0.55,0,1.64,1.09,0,0.55
