stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
21Day,2.68,0,16.06,0,0,0,0,0,0,131.18,2.68,0,0,0,2.68,0,0,0,0
3Month,0,0.32,29.76,0.32,0,0.64,0.64,0.32,0,0.96,0.32,0.32,0.32,0,0,0.32,0.32,0.64,0.32
22Month,0,0,0,0,0,1.64,0,0,1.64,0.55,0,0.55,0,0,0,0,0,0,0
